,Date,Weights,Profit,Base Profit,Volume,JNJ,PFE,ABT,BMY,F,OSK,SPAR,PCAR,LAWS,KAMN,WLFC,HDSN,cash
343,2015-05-18,"[0.09945603 0.         0.08759171 0.09201616 0.08024382 0.08776362
 0.09534665 0.09089131 0.10315919 0.         0.08466267 0.09880264
 0.08006617]",1.1167314108655018,1.163940177558672,0.009187140932757722,0.0,0.08759170770645142,0.09201616048812866,0.08024381846189499,0.08776362240314484,0.09534665197134018,0.09089130908250809,0.10315918922424316,0.0,0.08466266840696335,0.09880264103412628,0.08006616681814194,0.09945603460073471
344,2015-05-19,"[0.10619971 0.         0.08039457 0.077666   0.09558962 0.07721792
 0.09407192 0.10171879 0.10476993 0.         0.0839491  0.09620009
 0.08222235]",1.1139114078435064,1.1633683092956917,0.07475314552901899,0.0,0.08039457350969315,0.07766599953174591,0.09558961540460587,0.07721792161464691,0.09407191723585129,0.10171879082918167,0.10476993024349213,0.0,0.08394910395145416,0.09620009362697601,0.0822223499417305,0.106199711561203
345,2015-05-20,"[0.10610037 0.         0.08073701 0.07749788 0.09611166 0.07726142
 0.09350353 0.10196953 0.1048898  0.         0.08401161 0.09592459
 0.08199259]",1.1119001175981282,1.16554308026179,0.005608879838638968,0.0,0.08073700964450836,0.07749788463115692,0.09611166268587112,0.07726141810417175,0.09350353479385376,0.10196953266859055,0.10488979518413544,0.0,0.08401160687208176,0.09592459350824356,0.08199258893728256,0.10610037297010422
346,2015-05-21,"[0.1061184  0.         0.08073437 0.07752562 0.0960677  0.07726087
 0.09352734 0.10192334 0.10489431 0.         0.08401397 0.09594372
 0.08199035]",1.1092860472845558,1.163244640945248,0.009304780926837015,0.0,0.08073437213897705,0.07752561569213867,0.09606769680976868,0.07726087421178818,0.09352733939886093,0.10192333906888962,0.10489431023597717,0.0,0.08401396870613098,0.09594371914863586,0.08199035376310349,0.10611840337514877
347,2015-05-22,"[0.10614128 0.         0.08077625 0.07749595 0.09608952 0.07724655
 0.09349339 0.10194854 0.10489498 0.         0.08404375 0.09593197
 0.08193779]",1.1039896909007094,1.1578574508279926,0.0060935279122308885,0.0,0.08077625185251236,0.07749595493078232,0.09608951956033707,0.07724655419588089,0.09349339455366135,0.10194854438304901,0.1048949807882309,0.0,0.08404374867677689,0.09593196958303452,0.08193778991699219,0.10614128410816193
348,2015-05-26,"[0.10616703 0.         0.08077861 0.07745516 0.09614006 0.07721297
 0.09345986 0.10199089 0.10488835 0.         0.08407056 0.09591159
 0.08192492]",1.1046465204495668,1.1585352639762423,0.012015082033012237,0.0,0.08077860623598099,0.07745515555143356,0.0961400642991066,0.07721296697854996,0.09345985949039459,0.10199089348316193,0.10488834977149963,0.0,0.08407056331634521,0.09591159224510193,0.0819249153137207,0.1061670258641243
349,2015-05-27,"[0.1062373  0.         0.08090444 0.07730862 0.09622157 0.07716253
 0.09331513 0.10213063 0.10493656 0.         0.08416311 0.0958712
 0.08174893]",1.1006488486684176,1.1513298438479824,0.007868161313782564,0.0,0.08090443909168243,0.07730862498283386,0.09622157365083694,0.07716253399848938,0.09331513196229935,0.10213062912225723,0.10493655502796173,0.0,0.0841631144285202,0.095871202647686,0.08174893260002136,0.10623729974031448
350,2015-05-28,"[0.10618363 0.         0.08079623 0.07741965 0.09616051 0.07718211
 0.09342537 0.10202342 0.10491393 0.         0.08409255 0.09589948
 0.08190312]",1.1000922897036507,1.1484335919001125,0.008059126477338552,0.0,0.08079622685909271,0.07741964608430862,0.09616050869226456,0.0771821141242981,0.09342537075281143,0.1020234227180481,0.10491392761468887,0.0,0.08409254997968674,0.09589947760105133,0.0819031223654747,0.10618363320827484
351,2015-05-29,"[0.10615153 0.         0.08065069 0.07752691 0.09615361 0.07715704
 0.09351493 0.10192822 0.10487165 0.         0.08403622 0.09591133
 0.08209784]",1.1090388589655242,1.1530923974765246,0.006046964717565222,0.0,0.0806506872177124,0.07752691209316254,0.0961536094546318,0.07715704292058945,0.09351493418216705,0.1019282191991806,0.10487164556980133,0.0,0.08403622359037399,0.09591133147478104,0.0820978432893753,0.1061515286564827
352,2015-06-01,"[0.10621782 0.         0.08062979 0.07754583 0.09610142 0.07711017
 0.09354541 0.10185971 0.10489597 0.         0.08405896 0.09593935
 0.08209558]",1.1043084539717043,1.149238150695847,0.008817460928768655,0.0,0.08062978833913803,0.07754582911729813,0.09610141813755035,0.0771101713180542,0.09354541450738907,0.10185971111059189,0.10489597171545029,0.0,0.08405895531177521,0.09593935310840607,0.08209557831287384,0.10621782392263412
353,2015-06-02,"[0.10613367 0.         0.08062998 0.07760567 0.09600793 0.07721146
 0.09361849 0.10181203 0.10489567 0.         0.08399241 0.09597079
 0.08212195]",1.0990142347674097,1.144926989516269,0.009149289740852528,0.0,0.08062998205423355,0.07760567218065262,0.09600792825222015,0.07721146196126938,0.0936184898018837,0.10181202739477158,0.10489566624164581,0.0,0.08399240672588348,0.09597079455852509,0.08212194591760635,0.10613366961479187
